date,id,parentId,level,name,grade,jobTitle,unit,salaryCostOfReports,payFloor,payCeil,professionalOccupationalGroup
Sep-15,uid-602,DFE-1242,,,HEO,Operations Support Officer,Regional Schools Commissioners Group,0,27674,42065,Operational Delivery
Sep-15,uid-603,DFE-1136,,,HEO,Operations Support Officer,Education Funding Agency,0,27674,42065,Operational Delivery
Sep-15,uid-604,DFE-1097,,,SEO,Policy Adviser,Post 16 and Disadvantage,0,34282,48182,Policy
Sep-15,uid-605,DFE-1151,,,EO,Executive Assistant,Education Funding Agency,0,22681,33209,Finance
Sep-15,uid-606,DFE-1031,,,GRADE 7,Business Manager,Education Funding Agency,0,46833,58373,Business Unit Support
Sep-15,uid-607,DFE-1262,,,HEO,Operations Support Officer,Education Funding Agency,0,27674,42065,Operational Delivery
Sep-15,uid-608,DFE-1225,,,GRADE 7,Business Manager,Education Funding Agency,0,46833,58373,Business Unit Support
Sep-15,uid-609,DFE-1092,,,GRADE 7,Communications Manager,Strategy Performance and Private Office Group,0,46833,58373,Communications and Marketing
Sep-15,uid-610,DFE-1040,,,GRADE 6,Business Manager,Teachers and Teaching Group,0,57309,70578,Policy
Sep-15,uid-611,DFE-1127,,,EA AO,Executive Assistant,Finance & Commercial Group,0,18474,23084,Finance
Sep-15,uid-612,DFE-1239,,,GRADE 6,Operational Manager,Regional Schools Commissioners Group,0,57309,70578,Operational Delivery
Sep-15,uid-613,DFE-1247,,,HEO,Policy Support Officer,Education Funding Group,0,27674,42065,Policy
Sep-15,uid-614,DFE-1065,,,HEO,Operations Support Officer,Education Funding Agency,0,27674,42065,Operational Delivery
Sep-15,uid-615,DFE-1156,,,GRADE 6,Business Manager,Education Funding Agency,0,57309,70578,Policy
Sep-15,uid-616,DFE-1127,,,EO,Executive Assistant,Finance & Commercial Group,0,22681,33209,Finance
Sep-15,uid-617,DFE-1106,,,EA AO,Executive Assistant,Education Funding Agency,0,18474,23084,Operational Delivery
Sep-15,uid-618,DFE-1108,,,EO,Executive Assistant,Education Funding Agency,0,22681,33209,Operational Delivery
Sep-15,uid-619,DFE-1146,,,HEO,Operations Support Officer,Free Schools Group,0,27674,42065,Operational Delivery
Sep-15,uid-620,DFE-1244,,,GRADE 7,Business Manager,Regional Schools Commissioners Group,0,46833,58373,Policy
Sep-15,uid-621,DFE-1040,,,GRADE 7,Business Manager,Teachers and Teaching Group,0,46833,58373,Policy
Sep-15,uid-622,DFE-1257,,,EA AO,Executive Assistant,Education Funding Agency,0,18474,23084,Finance
Sep-15,uid-623,DFE-1243,,,EO,Executive Assistant,Strategic Analysis Research and Policy Impact Group,0,22681,33209,Economics
Sep-15,uid-624,DFE-1005,,,HEO,Policy Support Officer,"Assessment, Curriculum and General Qualifications",0,27674,42065,Policy
Sep-15,uid-625,DFE-1032,,,GRADE 6,Operational Manager,Standards and Testing Agency,0,57309,70578,Operational Delivery
Sep-15,uid-626,DFE-1187,,,EO,Executive Assistant,Free Schools Group,0,22681,33209,Policy
Sep-15,uid-627,DFE-1241,,,EO,Executive Assistant,Regional Schools Commissioners Group,0,22681,33209,Policy
Sep-15,uid-628,DFE-1001,,,GRADE 6,Business Manager,Permanent Secretary’s Office,0,57309,70578,Legal Advisors
Sep-15,uid-629,DFE-1262,,,SEO,Policy Adviser,Education Funding Agency,0,34282,48182,Business Unit Support
Sep-15,uid-630,DFE-1260,,,EO,Executive Assistant,"Childcare, Special Needs and Children’s Services Strategy",0,22681,33209,Policy
Sep-15,uid-631,DFE-1148,,,EO,Executive Assistant,Education Funding Agency,0,22681,33209,Operational Delivery
Sep-15,uid-632,DFE-1022,,,EO,Executive Assistant,Finance & Commercial Group,0,22681,33209,Business Unit Support
Sep-15,uid-633,DFE-1221,,,SEO,Policy Adviser,Education Funding Group,0,34282,48182,Policy
Sep-15,uid-634,DFE-1210,,,HEO,Policy Support Officer,National College for School Leadership,0,27674,42065,Policy
Sep-15,uid-635,DFE-1016,,,EA AO,Executive Assistant,"Childcare, Special Needs and Children’s Services Strategy",0,18474,23084,Policy
Sep-15,uid-636,DFE-1268,,,GRADE 6,Business Manager,"Childcare, Special Needs and Children’s Services Strategy",0,57309,70578,Policy
Sep-15,uid-637,DFE-1151,,,GRADE 6,Operational Manager,Education Funding Agency,0,57309,70578,Operational Delivery
Sep-15,uid-638,DFE-1161,,,SEO,Operational Manager,Education Funding Agency,0,34282,48182,Operational Delivery
Sep-15,uid-639,DFE-1227,,,EA AO,Executive Assistant,National College for School Leadership,0,18474,23084,Policy
Sep-15,uid-640,DFE-1022,,,SEO,Finance Officer,Finance & Commercial Group,0,34282,48182,Finance
Sep-15,uid-641,DFE-1136,,,GRADE 7,Business Manager,Education Funding Agency,0,46833,58373,Business Unit Support
Sep-15,uid-642,DFE-1170,,,GRADE 7,Business Manager,System Reform Group,0,46833,58373,Policy
Sep-15,uid-643,DFE-1276,,,Grade 6,Business Manager,Finance & Commercial Group,0,57309,70578,Estates and Facilities Management
Sep-15,uid-644,DFE-1119,,,GRADE 6,Business Manager,"Childcare, Special Needs and Children’s Services Strategy",0,57309,70578,Policy
Sep-15,uid-645,DFE-1033,,,GRADE 6,Business Manager,Academies Group,0,57309,70578,Policy
Sep-15,uid-646,DFE-1214,,,GRADE 7,Business Manager,Post 16 and Disadvantage,0,46833,58373,Policy
Sep-15,uid-647,DFE-1136,,,EO,Executive Assistant,Education Funding Agency,0,22681,33209,Business Unit Support
Sep-15,uid-648,DFE-1090,,,GRADE 7,Business Manager,Free Schools Group,0,46833,58373,Policy
Sep-15,uid-649,DFE-1150,,,HEO,Policy Support Officer,Strategic Analysis Research and Policy Impact Group,0,27674,42065,Policy
Sep-15,uid-650,DFE-1085,,,GRADE 6,Communications Manager,Strategy Performance and Private Office Group,0,57309,70578,Communications
Sep-15,uid-651,DFE-1280,,,GRADE 6,IT Manager,IT Group,0,57309,70578,Information Technology
Sep-15,uid-652,DFE-1280,,,GRADE 7,IT Manager,IT Group,0,46833,58373,Information Technology
Sep-15,uid-653,DFE-1022,,,GRADE 7,Business Manager,Finance & Commercial Group,0,46833,58373,Finance
Sep-15,uid-654,DFE-1016,,,SEO,Policy Adviser,"Childcare, Special Needs and Children’s Services Strategy",0,34282,48182,Business Unit Support
Sep-15,uid-655,DFE-1192,,,GRADE 7,Business Manager,Education Funding Agency,0,46833,58373,Business Unit Support
Sep-15,uid-656,DFE-1256,,,EO,Executive Assistant,Education Funding Agency,0,22681,33209,Operational Delivery
Sep-15,uid-657,DFE-1119,,,GRADE 6,Operational Manager,"Childcare, Special Needs and Children’s Services Strategy",0,57309,70578,Operational Delivery
Sep-15,uid-658,DFE-1154,,,SEO,Operational Manager,Education Funding Agency,0,34282,48182,Operational Delivery
Sep-15,uid-659,DFE-1139,,,EO,Executive Assistant,Education Funding Agency,0,22681,33209,Finance
Sep-15,uid-660,DFE-1035,,,EO,Executive Assistant,"Assessment, Curriculum and General Qualifications",0,22681,33209,Policy
Sep-15,uid-661,DFE-1178,,,SEO,Finance Officer,Finance & Commercial Group,0,34282,48182,Business Unit Support
Sep-15,uid-662,DFE-1223,,,GRADE 7,Operational Manager,Regional Schools Commissioners Group,0,46833,58373,Operational Delivery
Sep-15,uid-663,DFE-1146,,,EO,Executive Assistant,Free Schools Group,0,22681,33209,Policy
Sep-15,uid-664,DFE-1092,,,SEO,Operational Manager,Strategy Performance and Private Office Group,0,34282,48182,Strategy
Sep-15,uid-665,DFE-1016,,,GRADE 7,Business Manager,"Childcare, Special Needs and Children’s Services Strategy",0,46833,58373,Business Unit Support
Sep-15,uid-666,DFE-1011,,,EO,Executive Assistant,HR and Change Group,0,22681,33209,Human Resources
Sep-15,uid-667,DFE-1170,,,EA AO,Executive Assistant,System Reform Group,0,18474,23084,Policy
Sep-15,uid-668,DFE-1223,,,EA AO,Executive Assistant,Regional Schools Commissioners Group,0,18474,23084,Operational Delivery
Sep-15,uid-669,DFE-1122,,,SEO,Policy Adviser,Free Schools Group,0,34282,48182,Policy
Sep-15,uid-670,DFE-1278,,,GRADE 6,Business Manager,"Childcare, Special Needs and Children’s Services Strategy",0,57309,70578,Policy
Sep-15,uid-671,DFE-1003,,,HEO,Policy Support Officer,Education Standards Directorate,0,27674,42065,Business Unit Support
Sep-15,uid-672,DFE-1249,,,SEO,Operational Manager,Strategy Performance and Private Office Group,0,34282,48182,Business Unit Support
Sep-15,uid-673,DFE-1267,,,SEO,Policy Adviser,Post 16 and Disadvantage,0,34282,48182,Policy
Sep-15,uid-674,DFE-1022,,,GRADE 6,Office Manager,Finance & Commercial Group,0,57309,70578,Business Unit Support
Sep-15,uid-675,DFE-1006,,,GRADE 7,Business Manager,"Childcare, Special Needs and Children’s Services Strategy",0,46833,58373,Policy
Sep-15,uid-676,DFE-1239,,,EO,Executive Assistant,Regional Schools Commissioners Group,0,22681,33209,Operational Delivery
Sep-15,uid-677,DFE-1264,,,GRADE 6,Business Manager,Education Funding Agency,0,57309,70578,Finance
Sep-15,uid-678,DFE-1150,,,EO,Executive Assistant,Strategic Analysis Research and Policy Impact Group,0,22681,33209,Policy
Sep-15,uid-679,DFE-1084,,,HEO,Operations Support Officer,Infrastructure and Funding Directorate,0,27674,42065,Finance
Sep-15,uid-680,DFE-1064,,,SEO,Policy Adviser,Education Funding Agency,0,34282,48182,Business Unit Support
Sep-15,uid-681,DFE-1002,,,EO,Executive Assistant,Children Services and Departmental Strategy,0,22681,33209,Communications and Marketing
Sep-15,uid-682,DFE-1151,,,SEO,Finance Officer,Education Funding Agency,0,34282,48182,Finance
Sep-15,uid-683,DFE-1276,,,EA AO,Executive Assistant,Finance & Commercial Group,0,18474,23084,Estates and Facilities Management
Sep-15,uid-684,DFE-1257,,,EA AO,Executive Assistant,Education Funding Agency,0,18474,23084,Operational Delivery
Sep-15,uid-685,DFE-1171,,,HEO,Operations Support Officer,Teachers and Teaching Group,0,27674,42065,Operational Delivery
Sep-15,uid-686,DFE-1029,,,GRADE 7,Business Manager,Education Funding Agency,0,46833,58373,Policy
Sep-15,uid-687,DFE-1226,,,SEO,Policy Adviser,System Reform Group,0,34282,48182,Policy
Sep-15,uid-688,DFE-1105,,,EO,Executive Assistant,Education Funding Agency,0,22681,33209,Operational Delivery
Sep-15,uid-689,DFE-1215,,,EO,Executive Assistant,Strategic Analysis Research and Policy Impact Group,0,22681,33209,Economics
Sep-15,uid-690,DFE-1249,,,GRADE 6,Office Manager,Strategy Performance and Private Office Group,0,57309,70578,Business Unit Support
Sep-15,uid-691,DFE-1238,,,SEO,Operational Manager,Regional Schools Commissioners Group,0,34282,48182,Operational Delivery
Sep-15,uid-692,DFE-1161,,,HEO,Operations Support Officer,Education Funding Agency,0,27674,42065,Operational Delivery
Sep-15,uid-693,DFE-1106,,,GRADE 6,Operational Manager,Education Funding Agency,0,57309,70578,Operational Delivery
Sep-15,uid-694,DFE-1245,,,GRADE 7,Operational Manager,Regional Schools Commissioners Group,0,46833,58373,Operational Delivery
Sep-15,uid-695,DFE-1127,,,GRADE 7,Business Manager,Finance & Commercial Group,0,46833,58373,Business Unit Support
Sep-15,uid-696,DFE-1025,,,GRADE 6,Business Manager,National College for School Leadership,0,57309,70578,Policy
Sep-15,uid-697,DFE-1064,,,EO,Executive Assistant,Education Funding Agency,0,22681,33209,Operational Delivery
Sep-15,uid-698,DFE-1213,,,HEO,Policy Support Officer,Regional Schools Commissioners Group,0,27674,42065,Policy
Sep-15,uid-699,DFE-1092,,,EO,Executive Assistant,Strategy Performance and Private Office Group,0,22681,33209,Strategy
Sep-15,uid-700,DFE-1042,,,GRADE 7,Business Manager,Education Funding Agency,0,46833,58373,Finance
Sep-15,uid-701,DFE-1148,,,HEO,Operations Support Officer,Education Funding Agency,0,27674,42065,Operational Delivery
Sep-15,uid-702,DFE-1225,,,GRADE 7,Business Manager,Education Funding Agency,0,46833,58373,Finance
