id,parentId,date,level,name,grade,jobTitle,unit,salaryCostOfReports,payFloor,payCeil,professionalOccupationalGroup
uid-1256,CLG213,Sep-14,Junior,,Senior Executive Officer (SEO),Press Officer,"Strategy, Comms and Private Offices",0,32311,45985,Communications
uid-1257,CLG171,Sep-14,Junior,,Grade 7 (G7),Senior Policy Adviser,Localism,0,40852,57110,Policy
uid-1258,CLG154,Sep-14,Junior,,Administrative Officer (AO),Correspondence Manager,"Strategy, Comms and Private Offices",0,19335,25847,Policy
uid-1259,CLG215,Sep-14,Junior,,Higher Executive Officer (HEO),Statistician,Finance and Corporate Services,0,26058,39513,Statisticians
uid-1260,CLG215,Sep-14,Junior,,Executive Officer (EO),Statistical Support Officer,Finance and Corporate Services,0,22279,31225,Statisticians
uid-1261,CLG201,Sep-14,Junior,,Senior Executive Officer (SEO),Knowledge Information Management Manager,Finance and Corporate Services,0,32311,45985,Knowledge and Information Management (KIM)
uid-1262,CLG175,Sep-14,Junior,,Higher Executive Officer (HEO),Policy Adviser,Neighbourhoods,0,26058,39513,Policy
uid-1263,CLG215,Sep-14,Junior,,Higher Executive Officer (HEO),Statistician,Finance and Corporate Services,0,26058,39513,Statisticians
uid-1264,CLG190,Sep-14,Junior,,Grade 6 (G6),Senior Policy Adviser,Neighbourhoods,0,50203,70375,Planning
uid-1265,CLG160,Sep-14,Junior,,Fast Stream (HEOD),Statistician,Localism,0,27000,35000,Economics
uid-1266,CLG222,Sep-14,Junior,,Grade 7 (G7),Senior Policy Adviser,Finance and Corporate Services,0,40852,57110,Policy
uid-1267,CLG241,Sep-14,Junior,,Grade 7 (G7),Senior Policy Adviser,Neighbourhoods,0,40852,57110,Policy
uid-1268,CLG162,Sep-14,Junior,,Grade 7 (G7),Senior Policy Adviser,Localism,0,40852,57110,Policy
uid-1269,CLG222,Sep-14,Junior,,Higher Executive Officer (HEO),Policy Adviser,Finance and Corporate Services,0,26058,39513,Policy
uid-1270,CLG205,Sep-14,Junior,,Grade 7 (G7),Senior HR Manager,Finance and Corporate Services,0,40852,57110,Human Resources
uid-1271,CLG171,Sep-14,Junior,,Higher Executive Officer (HEO),Policy Adviser,Localism,0,26058,39513,Policy
uid-1272,CLG176,Sep-14,Junior,,Senior Executive Officer (SEO),Policy Adviser,Neighbourhoods,0,32311,45985,Policy
uid-1273,CLG176,Sep-14,Junior,,Senior Executive Officer (SEO),Policy Adviser,Neighbourhoods,0,32311,45985,Policy
uid-1274,CLG230,Sep-14,Junior,,Grade 6 (G6),Senior Policy Adviser,Troubled Families,0,50203,70375,Policy
uid-1275,CLG198,Sep-14,Junior,,Senior Executive Officer (SEO),Finance Officer,Finance and Corporate Services,0,32311,45985,Finance
uid-1276,CLG171,Sep-14,Junior,,Grade 6 (G6),Senior Policy Adviser,Localism,0,50203,70375,Policy
uid-1277,CLG227,Sep-14,Junior,,Higher Executive Officer (HEO),Programme Manager,Neighbourhoods,0,26058,39513,Operational Delivery
uid-1278,CLG172,Sep-14,Junior,,Grade 7 (G7),Senior Statistician,Localism,0,40852,57110,Statisticians
uid-1279,CLG146,Sep-14,Junior,,Fast Stream (HEOD),Not in Post,Finance and Corporate Services,0,27000,35000,Economics
uid-1280,CLG154,Sep-14,Junior,,Higher Executive Officer (HEO),Correspondence Manager,"Strategy, Comms and Private Offices",0,26058,39513,Policy
uid-1281,CLG214,Sep-14,Junior,,Executive Officer (EO),Not in Post,"Strategy, Comms and Private Offices",0,22279,31225,Communications
uid-1282,CLG165,Sep-14,Junior,,Executive Officer (EO),Policy Support Officer,Localism,0,22279,31225,Policy
uid-1283,CLG227,Sep-14,Junior,,Higher Executive Officer (HEO),Programme Manager,Neighbourhoods,0,26058,39513,Operational Delivery
uid-1284,CLG202,Sep-14,Junior,,Grade 6 (G6),Senior Policy Adviser,Finance and Corporate Services,0,50203,70375,Property and asset management
uid-1285,CLG204,Sep-14,Junior,,Senior Executive Officer (SEO),Internal Auditor,Finance and Corporate Services,0,32311,45985,Internal Audit
uid-1286,CLG159,Sep-14,Junior,,Grade 7 (G7),Not in Post,Localism,0,40852,57110,Policy
uid-1287,CLG204,Sep-14,Junior,,Grade 7 (G7),Senior Internal Auditor,Finance and Corporate Services,0,40852,57110,Internal Audit
uid-1288,CLG189,Sep-14,Junior,,Higher Executive Officer (HEO),Policy Adviser,Neighbourhoods,0,26058,39513,Planning
uid-1289,CLG171,Sep-14,Junior,,Grade 7 (G7),Senior Policy Adviser,Localism,0,40852,57110,Policy
uid-1290,CLG172,Sep-14,Junior,,Grade 7 (G7),Senior Policy Adviser,Localism,0,40852,57110,Policy
uid-1291,CLG184,Sep-14,Junior,,Higher Executive Officer (HEO),Policy Adviser,Neighbourhoods,0,26058,39513,Policy
uid-1292,CLG176,Sep-14,Junior,,Executive Officer (EO),Policy Support Officer,Neighbourhoods,0,22279,31225,Policy
uid-1293,CLG215,Sep-14,Junior,,Grade 7 (G7),Operational Researcher,Finance and Corporate Services,0,40852,57110,Operational Research
uid-1294,CLG154,Sep-14,Junior,,Executive Officer (EO),Private Secretary,"Strategy, Comms and Private Offices",0,22279,31225,Policy
uid-1295,CLG172,Sep-14,Junior,,Higher Executive Officer (HEO),Policy Adviser,Localism,0,26058,39513,Policy
uid-1296,CLG244,Sep-14,Junior,,Grade 7 (G7),Senior Policy Adviser,Neighbourhoods,0,40852,57110,Policy
uid-1297,CLG227,Sep-14,Junior,,Higher Executive Officer (HEO),Programme Manager,Neighbourhoods,0,26058,39513,Operational Delivery
uid-1298,CLG227,Sep-14,Junior,,Higher Executive Officer (HEO),Programme Manager,Neighbourhoods,0,26058,39513,Operational Delivery
uid-1299,CLG235,Sep-14,Junior,,Executive Officer (EO),Policy Support Officer,Localism,0,22279,31225,Policy
uid-1300,CLG197,Sep-14,Junior,,Administrative Officer (AO),Finance Support Officer,Finance and Corporate Services,0,19335,25847,Finance
uid-1301,CLG161,Sep-14,Junior,,Fast Stream (HEOD),Policy Adviser,Localism,0,27000,35000,Policy
uid-1302,CLG204,Sep-14,Junior,,Grade 7 (G7),Senior Internal Auditor,Finance and Corporate Services,0,40852,57110,Internal Audit
uid-1303,CLG230,Sep-14,Junior,,Grade 6 (G6),Senior Policy Adviser,Troubled Families,0,50203,70375,Policy
uid-1304,CLG213,Sep-14,Junior,,Grade 6 (G6),Senior Communications Manager,"Strategy, Comms and Private Offices",0,50203,70375,Communications
uid-1305,CLG249,Sep-14,Junior,,Grade 7 (G7),Senior Policy Adviser,Neighbourhoods,0,40852,57110,Policy
uid-1306,CLG222,Sep-14,Junior,,Grade 7 (G7),Senior Policy Adviser,Finance and Corporate Services,0,40852,57110,Policy
